Source URL,Target URL,Status,Include subdomains,Subpath matching,Preserve query string
https://www.shalomworship.com/song/zikr-68ea98d173498a2648cfa788,https://www.shalomworship.com/song/zikr-glorify-christ-68ea98d173498a2648cfa788,301,false,false,true
https://www.shalomworship.com/song/jesus-be-the-name-68f280ec4a352041deb67103,https://www.shalomworship.com/song/jesus-be-the-name-elevation-worship-68f280ec4a352041deb67103,301,false,false,true
https://www.shalomworship.com/song/yeshu-naam-mila-68f795053f2099a2a713cf2d,https://www.shalomworship.com/song/yeshu-naam-mila-folj-or-ankit-sajwan-ministries-68f795053f2099a2a713cf2d,301,false,false,true
https://www.shalomworship.com/song/so-so-good-68f7a0382ae26912100bf480,https://www.shalomworship.com/song/so-so-good-phil-wickham-68f7a0382ae26912100bf480,301,false,false,true
https://www.shalomworship.com/song/fear-has-no-power-68f897c391f4a19077119927,https://www.shalomworship.com/song/fear-has-no-power-phil-wickham-68f897c391f4a19077119927,301,false,false,true
https://www.shalomworship.com/song/song-of-the-saints-68f89ede80f89343873cf3e5,https://www.shalomworship.com/song/song-of-the-saints-phil-wickham-68f89ede80f89343873cf3e5,301,false,false,true
https://www.shalomworship.com/song/haan-hai-yakeen-68ff1463d8036d78dba95110,https://www.shalomworship.com/song/haan-hai-yakeen-nations-of-worship-68ff1463d8036d78dba95110,301,false,false,true
https://www.shalomworship.com/song/panah-68ff9f5ad8036d78dba951eb,https://www.shalomworship.com/song/panah-nations-of-worship-68ff9f5ad8036d78dba951eb,301,false,false,true
https://www.shalomworship.com/song/aag-mein-ek-aur-69005d1abf7bbbd763ea4191,https://www.shalomworship.com/song/aag-mein-ek-aur-nations-of-worship-69005d1abf7bbbd763ea4191,301,false,false,true
https://www.shalomworship.com/song/known-by-you-6900d5f6bf7bbbd763ea42ac,https://www.shalomworship.com/song/known-by-you-gateway-worship-6900d5f6bf7bbbd763ea42ac,301,false,false,true
https://www.shalomworship.com/song/greatly-to-be-praised-6900d816bf7bbbd763ea42df,https://www.shalomworship.com/song/greatly-to-be-praised-gateway-worship-6900d816bf7bbbd763ea42df,301,false,false,true
https://www.shalomworship.com/song/i-know-a-name-6901a6390b9f56d8258f08d0,https://www.shalomworship.com/song/i-know-a-name-elevation-worship-6901a6390b9f56d8258f08d0,301,false,false,true
https://www.shalomworship.com/song/smaran-69022e410b9f56d8258f0a27,https://www.shalomworship.com/song/smaran-jaago-music-69022e410b9f56d8258f0a27,301,false,false,true
https://www.shalomworship.com/song/chaahe-pahaad-6902f894122d7e175f7197f0,https://www.shalomworship.com/song/chaahe-pahaad-jaago-music-6902f894122d7e175f7197f0,301,false,false,true
https://www.shalomworship.com/song/ishwaron-ka-parmeshwar-69030e47122d7e175f719838,https://www.shalomworship.com/song/ishwaron-ka-parmeshwar-one-tribe-production-69030e47122d7e175f719838,301,false,false,true
https://www.shalomworship.com/song/meri-panaah-6903126b122d7e175f719854,https://www.shalomworship.com/song/meri-panaah-one-tribe-production-6903126b122d7e175f719854,301,false,false,true
https://www.shalomworship.com/song/shout-to-the-lord-69037959122d7e175f719894,https://www.shalomworship.com/song/shout-to-the-lord-gateway-worship-69037959122d7e175f719894,301,false,false,true
https://www.shalomworship.com/song/alfaz-hain-kam-690386a6122d7e175f7198d6,https://www.shalomworship.com/song/alfaz-hain-kam-glory-to-god-india-690386a6122d7e175f7198d6,301,false,false,true
https://www.shalomworship.com/song/aaradhana-teri-aaradhana-69039dce122d7e175f7198f2,https://www.shalomworship.com/song/aaradhana-teri-aaradhana-glory-to-god-india-69039dce122d7e175f7198f2,301,false,false,true
https://www.shalomworship.com/song/aye-paak-rooh-6903a534122d7e175f71990e,https://www.shalomworship.com/song/aye-paak-rooh-arif-bhatti-6903a534122d7e175f71990e,301,false,false,true
https://www.shalomworship.com/song/mera-tu-khuda-hai-6904f35c122d7e175f719a99,https://www.shalomworship.com/song/mera-tu-khuda-hai-glory-to-god-india-6904f35c122d7e175f719a99,301,false,false,true
https://www.shalomworship.com/song/ho-sitaish-690599d5122d7e175f719b5b,https://www.shalomworship.com/song/ho-sitaish-glory-to-god-india-690599d5122d7e175f719b5b,301,false,false,true
https://www.shalomworship.com/song/khuda-ka-karam-69059e05122d7e175f719ba3,https://www.shalomworship.com/song/khuda-ka-karam-glory-to-god-india-69059e05122d7e175f719ba3,301,false,false,true
https://www.shalomworship.com/song/sab-kuchh-mera-6905a031122d7e175f719bd9,https://www.shalomworship.com/song/sab-kuchh-mera-glory-to-god-india-6905a031122d7e175f719bd9,301,false,false,true
https://www.shalomworship.com/song/sarfaraz-6905a31d122d7e175f719c10,https://www.shalomworship.com/song/sarfaraz-glory-to-god-india-6905a31d122d7e175f719c10,301,false,false,true
https://www.shalomworship.com/song/khuda-ka-beta-hoon-6905a4dc122d7e175f719c2f,https://www.shalomworship.com/song/khuda-ka-beta-hoon-nations-of-worship-6905a4dc122d7e175f719c2f,301,false,false,true
https://www.shalomworship.com/song/ek-naam-6905f1ec122d7e175f719dc5,https://www.shalomworship.com/song/ek-naam-jaago-music-6905f1ec122d7e175f719dc5,301,false,false,true
https://www.shalomworship.com/song/shukar-yehowah-da-6909bc32de1e5b4c59ac6105,https://www.shalomworship.com/song/shukar-yehowah-da-arif-bhatti-6909bc32de1e5b4c59ac6105,301,false,false,true
https://www.shalomworship.com/song/hai-javeda-690cd3e4e29250ae32071a8d,https://www.shalomworship.com/song/hai-javeda-folj-or-ankit-sajwan-ministries-690cd3e4e29250ae32071a8d,301,false,false,true
https://www.shalomworship.com/song/nannu-neevu-maruvaka-690cec6ae29250ae32071b17,https://www.shalomworship.com/song/nannu-neevu-maruvaka-benny-joshua-ministries-690cec6ae29250ae32071b17,301,false,false,true
https://www.shalomworship.com/song/god-im-just-grateful-690d8ec4e29250ae32071b31,https://www.shalomworship.com/song/god-im-just-grateful-elevation-worship-690d8ec4e29250ae32071b31,301,false,false,true
